交易日期,开盘价,最高价,最低价,收盘价,amount,当日净流入,北向资金流_低阈值,北向资金流_高阈值,signal,pos,equity_change,benchmark
2015-11-13,3756.2,3793.71,3727.58,3746.24,203489891.0,-10000000.0,-111333333.3333333,1275999999.9999971,,0.0,0.0,0.796624874538557
2015-11-16,3682.74,3764.41,3680.07,3764.13,161690901.0,-9000000.0,-108999999.99999969,1254999999.9999998,,0.0,0.0,0.8004291206641375
2015-11-17,3790.43,3852.77,3750.16,3758.39,248533071.0,-312000000.0,-101333333.3333331,1252333333.333333,0.0,0.0,0.0,0.7992085296769473
2015-11-18,3760.46,3771.85,3706.31,3715.58,185689495.0,60000000.0,-111333333.3333333,1249666666.6666665,,0.0,0.0,0.7901051324362485
2015-11-19,3725.62,3775.23,3714.68,3774.97,154631989.0,-3000000.0,-108999999.99999969,1246999999.9999988,,0.0,0.0,0.8027342088699113
2015-11-20,3778.88,3793.54,3757.03,3774.38,186951689.0,110000000.0,-101333333.3333331,1233333333.3333318,,0.0,0.0,0.8026087474269772
2015-11-23,3774.44,3802.85,3743.41,3753.33,175626812.0,23000000.0,-93666666.66666657,1219666666.6666646,,0.0,0.0,0.7981325383189016
2015-11-24,3745.76,3754.17,3702.74,3753.89,143383283.0,424000000.0,-85999999.99999997,1205999999.999999,,0.0,0.0,0.7982516203664324
2015-11-25,3747.76,3781.86,3735.72,3781.61,151944941.0,153000000.0,-85333333.33333331,1194999999.9999988,,0.0,0.0,0.8041461817192045
2015-11-26,3795.25,3805.84,3756.82,3759.43,173525468.0,670000000.0,-84666666.66666666,1183999999.9999986,,0.0,0.0,0.799429682050933
2015-11-27,3739.1,3742.74,3534.39,3556.99,208939358.0,265000000.0,-83999999.99999982,1172999999.9999998,,0.0,0.0,0.7563815218685673
2015-11-30,3554.89,3587.97,3455.07,3566.41,173201163.0,3467000000.0,-79666666.66666654,1170999999.9999998,1.0,0.0,0.0,0.7583846520252453
2015-12-01,3562.32,3617.3,3536.12,3591.7,136536554.0,755000000.0,-75333333.33333327,1183999999.9999986,,1.0,0.0069610885904001,0.7637624823503393
2015-12-02,3587.76,3725.85,3573.4,3721.96,213538865.0,-331000000.0,-70999999.99999985,1172999999.9999998,0.0,1.0,0.0360961933777215,0.7914618171920452
2015-12-03,3709.55,3758.45,3693.14,3749.3,197762126.0,-839000000.0,-79666666.66666654,1170999999.9999998,,0.0,0.0,0.7972755728697072
2015-12-04,3719.73,3726.12,3667.29,3677.59,151199522.0,-349000000.0,-84666666.66666666,1168999999.9999998,,0.0,0.0,0.782026691390368
2015-12-07,3681.58,3699.34,3658.58,3687.61,113883150.0,125000000.0,-85999999.99999997,1166999999.9999998,,0.0,0.0,0.7841574094551146
2015-12-08,3668.84,3668.84,3619.45,3623.02,125781083.0,-391000000.0,-85333333.33333331,1164333333.333333,0.0,0.0,0.0,0.7704225711515233
2015-12-09,3613.42,3655.16,3611.49,3635.94,113325422.0,463000000.0,-93666666.66666657,1161666666.6666665,,0.0,0.0,0.7731699641052685
2015-12-10,3634.37,3678.32,3615.99,3623.08,120215625.0,-281000000.0,-85999999.99999997,1158999999.9999998,0.0,0.0,0.0,0.7704353299423302
2015-12-11,3605.37,3630.74,3578.15,3608.06,110322481.0,-141000000.0,-101333333.3333331,1155333333.333333,,0.0,0.0,0.7672413793103448
2015-12-14,3573.88,3712.5,3571.0,3711.32,151769119.0,-300000000.0,-111333333.3333333,1151666666.666666,,0.0,0.0,0.7891992582889611
2015-12-15,3707.73,3717.36,3679.23,3694.39,126481710.0,411000000.0,-115999999.9999999,1147999999.9999998,,0.0,0.0,0.7855991528162903
2015-12-16,3703.95,3713.09,3677.45,3685.44,111342723.0,-474000000.0,-113666666.6666666,1144333333.333333,0.0,0.0,0.0,0.7836959665209329
2015-12-17,3712.78,3768.84,3709.85,3755.89,177924075.0,1297000000.0,-124333333.3333332,1140666666.666666,1.0,0.0,0.0,0.7986769133933279
2015-12-18,3754.96,3810.22,3750.93,3767.91,173465980.0,-54000000.0,-115999999.9999999,1147999999.9999998,,1.0,0.00307716595928,0.8012329244849701
2015-12-21,3762.1,3877.82,3759.99,3865.97,217435275.0,-116000000.0,-113666666.6666666,1144333333.333333,0.0,1.0,0.025880653204475,0.8220850415936579
2015-12-22,3872.1,3880.47,3841.59,3876.73,180303661.0,-500000000.0,-116000000.0,1140666666.666666,,0.0,0.0,0.8243731180783559
2015-12-23,3877.87,3926.69,3862.97,3866.38,207017147.0,-217000000.0,-116000000.0,1136999999.9999995,,0.0,0.0,0.8221722266641716
2015-12-28,3847.53,3853.39,3727.63,3727.63,153988440.0,35000000.0,-132666666.66666642,1133666666.6666665,,0.0,0.0,0.7926675229232941
2015-12-29,3723.05,3762.05,3710.48,3761.87,101885555.0,906000000.0,-124333333.3333332,1130333333.3333328,,0.0,0.0,0.7999485395437456
2015-12-30,3762.91,3765.66,3726.28,3765.18,105629955.0,664000000.0,-116000000.0,1126999999.9999998,,0.0,0.0,0.8006523995032576
2015-12-31,3760.9,3772.62,3727.32,3731.0,101873556.0,-454000000.0,-116000000.0,1123666666.6666665,0.0,0.0,0.0,0.793384141673613
2016-01-04,3725.86,3726.24,3469.01,3470.41,115370674.0,63000000.0,-124333333.3333332,1120333333.3333328,,0.0,0.0,0.7379705867342599
2016-01-05,3382.18,3518.22,3377.28,3478.78,162116984.0,1621000000.0,-116000000.0,1116999999.999999,1.0,0.0,0.0,0.7397504380518177
2016-01-06,3482.41,3543.74,3468.47,3539.81,145966144.0,-497000000.0,-116000000.0,1123666666.6666665,0.0,1.0,0.0172733157603999,0.7527282547675348
2016-01-07,3481.15,3481.15,3284.74,3294.38,44102641.0,27000000.0,-124333333.3333332,1120333333.3333328,,0.0,0.0,0.7005384209720498
